Record Id	Institute Abbreviation	Randomization Id	Randomization Group	Randomized On	Record Creation Date	debrief_1	debrief_2	debrief_3	debrief_4	EXCLUDE?	debrief_5	debrief_6	debrief_7	debrief_8_1._Ik_wilde_de_totale_hoeveelheid_muntjes_gelijk_verdelen_over_de_investeerder_en_mijzelf._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_2._Ik_wilde_de_hoeveelheid_muntjes_geven_die_de_investeerder_terugverwachtte._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_3._Ik_wilde_zo_veel_mogelijk_van_de_investering_zelf_houden._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_4._Ik_wilde_zo_veel_mogelijk_van_de_investering_terug_geven._Punten_bij_elkaar_opgeteld_precies_100_	otherStrat	otherStratPoints	debrief_8_5._Anders,_namelijk_geef_beschrijving_en_aantal_punten_op_:_Punten_bij_elkaar_opgeteld_precies_100_	debrief_9	debrief_10	debrief_11
110011	DCCN				07-04-17 12:47	Goed	Ja	Ja	Nee		Sommige wel, sommige niet.	Nee	Ik voelde me niet schuldig.	10	20	40	30			0	Nee	Ja, ik voelde me verplicht andere bedragen terug te gaan geven dan wat ik daarvoor deed.	Ne
110012	DCCN				10-04-17 12:47	Redelijk	Ja	Niet echt	Ja		Ja redelijk	Nee	Ik klikte het verkeerd aan	40	20	30	10				nee	in het begin even	nee
110013	DCCN				11-04-17 10:55	Prima	Ja	Ja	Op het einde een beetje		Ja, denk het wel	Nee	Ik vermeed een schuldgevoel door redelijk sociaal de muntjes te verdelen	75	10	5	5	reciprocity	5	5, als iemand heel weinig investeerde, vond ik dat diegene niet veel terug verdiende	Nee	Nee	Nee
110014	DCCN				11-04-17 12:31	Goed	Ja	Redelijk	Ja tijdens de 2e set van 80 personen		Ja	Nee	Ik voelde me niet schuldig	50	10	5	35			0	Ja, als mensen zelf maar 1 of 2 muntjes investeerde, gaf ik ze niks meer terug	Nee	-
110015	DCCN				11-04-17 13:24	Voor mijn gevoel ging het goed, maar aangezien ik niet weet wat goed en fout was om te doen, is het niet zeker	Ja	Ja	Nee		Ja	Nee	Omdat ik dan mensen die veel investeerde niet zoveel terug kon geven aangezien het geld minder verdubbeld werd dan die person dacht	80		10	10				Ja, mensen die veel investeerde vaak meer terug gegeven dan zou moeten en die minder investeerde ook minder aan uit gegeven	Ja, ik vond dit met rekenen soms lastig	nee
110016	DCCN				12-04-17 14:33	Het ging gemakkelijk	jazeker	ze waren niet saai	nee		misschien niet tevreden, maar ik heb ervoor gezorgd dat ze geen verlies maken	nee	nee	10	0	50	0	leave10other	40	40, ik wil zorgen dat ze op z'n minst 10 muntjes overhouden als ze meer dan 3 investereerden	nee	nee	nee
110017	DCCN				12-04-17 15:15	Het ging prima	Ik begreep alles goed	Het idee is leuk, de taak zelf wordt na een tijd eentonig	Nee		Dat denk ik wel	Nee	Ik voelde me niet schuldig					endowmentEquity	100	Ik wilde de helft van mijn muntjes delen met de investeerder (100)	Nee	Nee	Nee
110018	DCCN				13-04-17 10:54	Goed, denk ik	Ja	Ja in het begin, op het laatst werd het een beetje saai	Op het laatste wel		Ja, ik heb wel m'n best gedaan	nee	Dat kwam door het feit dat ik mijzelf meer geld toekende dan de ander	50	30	10	10			0	Nee, volgens mij niet	Ja, ik twijfelde of ik aan hun verwachtingen moest voldoen	nee
110019	DCCN				13-04-17 11:46	Wel goed denk ik, ik ben er wel tevreden over.	Ja.	Redelijk, na een tijdje wel wat minder.	Een beetje na een tijd, maar niet heel erg.		Ja.	Nee.	Ik heb me niet schuldig gevoeld.	80	20	0	0				Nee.	Nee.	Nee.
110020	DCCN				13-04-17 13:30	Goed	Ja	Best leuk	Nee		Ja	Nee	Omdat de investering veel was, ervan uitgaande dat de vermenigvuldigings factor 6 was, maar die was minder waardoor de investeerder minder kreeg dan zij/hij zou moeten.	95	5	0	0			0	Ja, ik heb na een tijdje iets minder terug gegeven.	Ja, soms wel, omdat ik het moeilijk vond minder terug te geven dan ze verwacht hadden te krijgen.	nee
110021	DCCN				18-04-17 15:17	Goed	Ja	jawel	Nee		De meesten wel, sommigen niet.	nee	Voelde me niet schuldig.	80	20	0	0			0	Nee, bleef verdeling van muntjes ongeveer gelijk houden=> ongeveer 50/50.	Niet echt.	Nee.
110022	DCCN				19-04-17 15:05	Goed	Ja	Ja	Nee, niet echt		Ja	Nee	Ik voelde me schuldig wanneer ik minder kreeg dan de andere deelnemers verwachtten en ik ze dus ook minder terug kon geven	60	30	10	0			0	Nee	Nee	Nee
110023	DCCN				20-04-17 11:02	Prima	Ja	Jawel	Een beetje		Mwah	Nee	Ik voelde me niet schuldig	15	15	60	0			-	nee	nee	nee
110024	DCCN				21-04-17 11:19	Goed, echter duurde een gedeelte langer dan verwacht.	Ja.	In het begin wel, later raakte ik vermoeid.	Ja, ik raakte verveeld en vermoeid vanaf ongeveer deel 3 van de vragenlijst.		Ja, ik heb meer geld afgegeven dan gehouden, al helemaal aan deelnemers die relatief meer gaven.	Nee.	Ik voelde me niet per se schuldig, maar wilde de andere deelnemers meer geven dan ik kreeg, en deelnemers die veel geld gaven, belonen.	30	30	10	80			Ik wilde deelnemers die relatief veel investeerden, extra geld teruggeven en deelnemers die veel voor zichzelf hielden amper geld teruggeven. Wanneer een deelnemer uberhaupt iets had gedoneerd, vond ik dat ik ook iets terug moest geven. Ik ging vooral uit van het  bedrag dat de deelnemer dacht te geven, tenzij diegene relatief veel had gedoneerd: dan gaf ik meer wanneer ik meer had. Ik wilde wel steeds een gedeelte voor mezelf houden als ik minder kreeg dan bedoeld.	Ja. Door gulle spelers meer te geven en gierige spelers minder.	Nee.	Nee.
110025	DCCN				24-04-17 10:59	af en toe wisselde ik van mening, 1 iemand verdient altijd de helft omdat die gene niet eens hoeft te investeren in mij. 2. de ander vertrouwt en gunt mij niet zoveel dus hij krijgt niet precies de helft maar wel altijd minimaal zijn inleg.	ja	ja	wel vermoeid		ja	nee	Ik heb mij niet schuldig gevoeld omdat ik naar mijn principes heb gehandeld	50	0	10	10	reciprocity	30	het vertrouwen en de gun factor van de andere persoon belonen 30	ja, ik heb bijna altijd de helft terug gegeven maar op een gegeven moment dacht ik dat mensen die veel voor zichzelf hielden minder profijt verdienden, ik gaf ze wel altijd hun eigen inleg of iets meer terug.	nee	misschien werkt het nog beter als je het bedrag ziet wat je kan krijgen i.p.v. het aantal muntjes zodat je nog liever het bedrag voor jezelf houdt.
110026	DCCN				24-04-17 15:16	Vrij goed	Ja	Gaat wel	Beetje verveeld		Aardig tevreden	Nee	Ik voelde me niet schuldig	20	10	15	5				Ja, ik lette meer op het aantal muntjes dat ik kreeg van Speler A ten opzichte van het totaal 10.	Nee	Nee
110027	DCCN				25-04-17 09:14	Prima	Ja	Jawel	Een beetje		Redelijk	Nee	Te weinig teruggeven	80	80	20	10				Ja, aan het eind minder muntjes teruggeven bij mensen die weinig hadden geinvesteerd	Nee	Nee
110028	DCCN				25-04-17 11:02	Best goed:)	Ja.	Ik vond de taken leuk om te doen.	Soms tussendoor vermoeid door lang naar scherm staren, maar daar zijn de pauzes voor.		Ik weet vrij zeker van wel.	Nee.	N.v.t.	30	10	0	0	reciprocity	60	60 Ik wilde hoog investeer-gedrag belonen. Hoe meer gegeven werd hoe meer ik teruggaf. (zelfs als de ander dan meer verdiende dan ik.) Ik gaf meestal meer boven de 5, en minder onder de 5.	Na de eerste paar investeringen ben ik weinig (of niets) terug gaan geven aan mensen die 1,2 of 3 munten investeerden. Met een kleine investering kan je niet veel.	Nee.	Nee.
110029	DCCN				25-04-17 13:29	Ik heb moeite met rekenen dus soms vond ik het lastig om te bedenken hoeveel ik terug moest geven.	ja	ja	nee niet echt		Sommige wel sommige niet	nee	Doordat ik mensen die weinig inversteerde ook weinig terug gaf, en dat ik met mensen die alles investeerde 50/50 ging wat wel naar mijn idee de beste keuze is, maar waardoor ik de helft gaf van wat ik had en hun alles gaven.	15	15	10	10	reciprocity	50	Ik wilde teruggeven aan de hand van de hoeveelheid die in mij gweinvesteerd was, wie meer investeerde kreeg naar verhouding ook meer terug 50	Ja ik heb deze in de loop van het spel aangepast doordat ik een andere manier bedacht om te kijken hoeveel iemand van mij terug kreeg.	in het bgin wel omdat mijn speeltechniek te maken had met de vermeningvulsdigingsfactor en met de inverstering van de andere persoon	nee
110030	DCCN				26-04-17 13:33	prima	ja	nee	ja		nee	nee	omdat ik bijna geen muntjes aan mensen gaf	0	0	100	0			0	af en toe	nee	nee
110031	DCCN				26-04-17 14:29	Goed, wel oke	Ja	Matig leuk	een klein beetje in het midden van de taak		Ja	Nee	Dat ik minder terug kwam dan zij hadden geinvesteerd, als ze dus verlies hadden gemaakt	10	25	25	40			0	Ja, naarmate de taak vorderde heb ik steeds meer geld voor mezelf gehouden, ik wilde zelf meer winst maken t.o.v. de ander	Ja, dit was vooral even wennen. Mentaal had ik hier verder geen moeite mee.	nee
110032	DCCN				26-04-17 15:19	oke	ja	nee	ja		ja	misschien	Omdat ik het geld mogelijk niet altijd eerlijk heb verdeeld.	40	0	40	20			0	nee	nee	nee
110033	DCCN				01-05-17 13:26	Het duurde even voordat ik 'voelde' wat voor mij de juiste verdeling was, maar toen ik dat eenmaal in de gaten had, ging het goed	Ja	Ja	Ja, vermoeid, tijdens de laatste ronde		Ja	Nee	Mensen die maar 1 muntje hadden gegeven... Dan gaf ik die gewoon terug zonder te verdubbelen. Niet schuldig, want dan hadden ze maar meer muntjes moeten geven zodat de totaalverdeling eerlijker werd, maar wel een beetje ongemakkelijk.	80	0	10	10				Nee	Nee	Nee
110034	DCCN				02-05-17 11:02	Ik denk wel redelijk	De instructies waren duidelijk	Ja	Nee		Ja	Nee	Niet van toepassing, ik heb alles eerlijk verdeeld	100	0	0	0			0	Nee	Nee	Nee
110035	DCCN				02-05-17 12:40	Soms was het snel rekenen, maar op zich ging het prima.	Ja.	Soms vond ik de taken stressvol, maar het gaf ook zeker een uitdaging. Leuk misschien net niet.	Nee, niet echt.		Niet iedereen, ben soms lichtelijk irrationeel gaan reageren, zeker nadat ik twee keer geen investeerder had, merkte ik hebberig te raken.	Nee.	Door weinig terug te geven bij een hoge investeerder.	20	30	50	0			0	Bij de investeerders die 1, 2 of 3 gaven, gaf ik niks terug. Verder krijg 4 de investering terug en 5 a 6 meestal een eerlijk deel. Daarboven was het per moment afhankelijk.	Wel met de strategie rond de 5 a 6, die moest toen herberekend worden.	Nee, niet echt.
110036	DCCN				02-05-17 13:27	Best goed	Ja, geen problemen	ja deden me denken aan gevangenendilemma	nee		jazeker	nee	niet altijd even gul	0	0	50	0	reciprocity	50	soort beloning voor de muntjes die ik had gekregen. vanaf 8 kreeg speler A meer terug dan zijn investering.   50	werd strenger. Eerst kregen spelers die 1 of 2 muntjes gaven niks terug, dat werd later verhoogd tot 4 muntjes	ja, bedragen zijn beduidend lager	nee
110037	DCCN				04-05-17 14:17	Het ging best goed maar ik ben wel een beetje moe nu	Ja	Ja, er waren wel veel herhalingen maar vooral aan het begin vond ik het leuk	Ja, wel een beetje. Vooral door Questionnaire1 (invullen wat wel en niet eerlijk is enzo)		Nee waarschijnlijk niet heel erg	Nee	Omdat ik soms wel egoistisch was	30	30	40	0				Nee niet echt	Aan het begin wel een beetje, maar na 2 of 3 rondjes niet meer	Nee
110038	DCCN				05-05-17 10:00	goed	ja	ja	ja		ja	nee	nvt	40	50	10	0			0	nee	ja	ik zou achteraf mijn investering als speler A anders hebben gedaan
110039	DCCN				08-05-17 11:46	Voor mijn gevoel goed.	Alles was erg duidelijk.	Ja, je moest veel nadenken over hoe je iets zou verdelen.	Nee.		Hoe meer ze in mij investeerden, hoe meer ik terug gaf dus in dat geval wel.	Nee.	Dat ik te weinig terug gaf.	30	10	60	0			0	Ja, soms gaf ik wat meer terug dan ik zou willen.	Nee, ik vond het juist wel spannend.	Nee.
110040	DCCN				08-05-17 13:31	Prima	Ja	Op zich wel	Niet echt		Ik denk dat het gedeelte voor de pauze meer tevreden is dan erna	Misschien (foto's waren vaag)	Dat ik minder muntjes terug gaf dan dat zij mij gaven	0	0	50	50			0	Ja, minder teruggeven na de pauze, minder geven als de vermenigvuldiging lager was	Nee	Nee
110041	DCCN				10-05-17 08:59	Goed, soepel	Ja	Best leuk, soms wel beetje lang	Niet echt		Soms wel, soms niet echt	Nee	Doordat ik minder geld gaf aan de mensen dan ik andersom had willen krijgen	30	20	40	10				Nee	Nee	Nee
110042	DCCN				11-05-17 13:29	goed	ja	redelijk	een beetje		sommige gevallen niet, maar over algemeen redelijk denk ik, maar kan altijd beter.	nee	ik gaf iemand minder terug dan wat ze of zelf gaven, terug hoopten te krijgen, of door het de verlaagde vermenigvuldiging dat ik ze minder terug gaf dan eerlijk zou zijn geweest	55	30	10	5			-	nee	nee	nee
110043	DCCN				11-05-17 14:32	Goed!	Ja	Niet echt, beetje saai.	Wel een beetje, omdat mijn antwoord hetzelfde bleef.	x	Ik weet wel zeker van niet (maar ik denk niet dat ik tegen echte deelnemers speelde).	Nee	Ik voelde me niet schuldig omdat ik niet geloof dat ik tegen echte deelnemers speelde. Ik heb het gevoel alsof dat een coverstory is en dat ik werkelijk tegen een computer speel, dus ik onthoud van niemand geld.	0	0	100	0			0	Nee	Nee	Ik wil niet dat mijn foto gebruikt wordt voor in het spel, maar alsnog werd er een foto gemaakt? Snap niet helemaal waarom.
110044	DCCN				17-05-17 09:18	prima, leuk om me te doen	ja	ja	aan het eind van taak 1 af en toe		ja	nee	Heel af en toe te weinig terug gegeven aan speler A voor mijn gevoel	70	20	5	5				beetje gewisseld. meestal eerlijk verdeeld. maar af en toe, vooral bij de lage investeringen van speler A (1-3 munjes), wilde ik ze niet al te veel teruggeven aangezien ze zelf nog veel over hadden van de oorspronkelijke investering	nee	nee
110045	DCCN				17-05-17 12:45	wel goed	ja	nou..... nee	ja		de meeste wel	nee, maar volgens mij kwamen wel dezelfde foto's langs	dat ik mezelf met meer muntjes liet eindigen dan hen	2	3	50	25	doubleInvestment	20	20 ik wilde de investering verdubbelen	ik gaf speler A zijn investering terug, mits ik dan zelf niet met minder dan zijn totaal zou eindigen	nee, dat was juist wel fijn	nope
110046	DCCN				17-05-17 13:08	Goed	Ja het was duidelijk	ja	nee		gemiddeld	nee	nee niet echt	35	25	35	5			0	Ja eerst eerlijk en daarna meer voor mezelf	nee	nee
110047	DCCN				18-05-17 10:02	wel goed	ja	ja	nee		ja	nee	doordat de factor met 2 werd vermenigvuldigd ipv met factor 4, waardoor ik minder teruggaf dan mensen waarschijnlijk hadden verwacht/gehoopt	30	20	30	20				nee	het was in het begin wel even schakelen	nee
110048	DCCN				22-05-17 11:45	Soms ging de schuifpijl te ver en stond die op een verkeerd getal maar verder ging het wel goed.	Ja	Ik vond het in het begin leuk maar het werd wel veel van hetzelfde op het eind.	Ja op het eind wel.		Voor sommigen waarbij de vermenigvuldigingssfactor hetzelfde of hoger was wel en als die lager was hebben ze van mij waarschijnlijk minder gekregen dan wat ze hadden verwacht.	Nee	Omdat ik ze een laag bedrag gaf omdat de vermenigvuldigingsfactor lager was dan zij dachten.	20	20	10	0	advantageousEquity	50	Ik wilde het redelijk gelijk houden maar net iets meer voor mezelf houden 50	Nee	In het begin wel.	Nee
110049	DCCN				22-05-17 14:31	Ik had soms wat moeite met hoofdrekenen, maar het inschatten ging verder wel goed.	Ja.	Ik vond het zeker leuk.	Na een uur werd ik wel wat vermoeider.		Ik hoop het, degenen die 10 muntjes investeerden zullen wel tevreden zijn. De lagere investeerders misschien meer ontevreden.	Nee.	Als ik iemand minder geld gaf als er een hogere waarde werd gebruikt om mee te vermenigvuldigen	40	20	20	20				Nee, ik denk van niet.	Ik liet me wel beinvloeden door de vermenigvuldigheidsfactor van 4, dus in de tweede taak denk ik dat ik wel vaker meer geld voor mezelf heb ingeschaald.	Nee.
110050	DCCN				30-05-17 09:15	Redelijk goed	Ja	Redelijk	Aan het einde een beetje		Nee	Nee	Niet aan verwachtingen voldoen	40	30	20	0	risk	10	10 risico's beoordelen	Ja, meer teruggeven aan grote investeerders	Nee	Nee
110051	DCCN				30-05-17 10:00	Wel goed, ging wel snel, je moest snel beslissen.	Ja.	In het begin wel, op gegeven moment werd het wel veel van hetzelfde.	Ja.		Ja, ik heb het zo eerlijk mogelijk geprobeerd te verdelen.	Nee.	Ik voelde me niet schuldig.	80	20	0	0				Nee.	Nee.	Nee.
110052	DCCN				30-05-17 11:46	Prima, spookte wel veel gedachten door mijn hoofd.	Ja, helder uitgelegd	Gemiddeld	Na pauze in ronde 2 wel		Nee	Nee	Voor de mensen die niet helemaal all in gingen met 10 minunten maar 6 of 7 munten gaven. Lastig om dan alles te houden, maar heb het wel gedaan.	0	20	50	0	reciprocity	30	30, hoe meer munten iemand investeerde hoe sneller ik de neiging had om geld terug te geven.	Ja, gaf steeds meer munten terug.	Nee	Leuk experiment!
110053	DCCN				01-06-17 10:02	Wel prima	Yes	Ja, leukste proefpersoonding tot nu toe.	alleen met het rekenen qua wat de ander zou doen.		Alleen de mensen die 8/9/10 geinvesteerd hebben.	nee	voelde ik me niet					reciprocity	100	als de investeerder mij vertrouwde, werd dat beloont. Dat wil zeggen als er 8/9/10 muntjes werd geinvesteerd. 100	ja, de eerste 10 mensen verdeelde ik helemaal eerlijk, daarna nog alleen 8/9/10.	nee	nee, success met de analyse!
110054	DCCN				01-06-17 13:32	prima	ja	mwa	ja		sommige	nee	geen schuld	10	60	30	0			0	nee	nee	nee
110055	DCCN				06-06-17 13:22	Goed	Ja	Ja	Uiteindelijk wel een beetje, was prima op te lossen door wat te staan/ te bewegen		nee	nee	ik voelde mij niet schuldig	100	0	0	0				Ja. Uiteindelijk wilde ik het totale aantal muntjes eerlijk verdelen. Eerst deed ik dit niet.	Nee, ook al weten zij niet dat ik eerlijk handel ikzelf weet dat wel.	Ik wilde het totale aantal muntjes eerlijk verdelen. Echter bedacht ik mij tijdens de vragenlijst dat ik dit verkeerd heb berekend. Ik keek naar het aantal muntjes dat iemand weggaf+het aantal muntjes dat ik daarna had i.p.v. het aantal muntjes dat die persoon over had + het aantal muntjes dat ik had.Hierdoor klopt mijn terruggave niet altijd.
110056	DCCN				09-06-17 09:59	Het ging prima	Ja	Ja	Een beetje. Ik had echter een strategie die ik de hele tijd toepaste, dus dat had geen gevolgen.		Ja, mijn tactiek was om altijd terug te geven wat mensen verwachtten terug te krijgen en dan te hopen dat de multiplier in mijn voordeel werkte aan het einde.	Nee	Dat had ik niet echt. Als ik minder terug gaf dan mensen verdienden dan voelde ik me niet echt schuldig omdat ze ook niet bewust waren van het feit dat ik meer kreeg dan ze dachten.	5	90	5	0				Ja. In de sessie voor de eerste pauze snoepte ik hier en daar wel eens een puntje af van de munten die ik verwacht werd terug te geven. Na de eerste pauze ben ik begonnen met consequent terug te geven wat mensen verwachtten terug te krijgen.	Nee	Nee
110057	DCCN				12-06-17 11:03	Prima	Ja	Een beetje	Ja		Ja	Nee, ze waren allemaal wazig dus het is onmogelijk iemand te herkennen	Nee	40	50	10	0			0	Nee	Nee	Nee
110058	DCCN				12-06-17 12:45	goed, wel beetje saai	Ja	In het begin wel, maar op een gegeven moment werd het saai	ja		ja	nee	als ik minder kreeg dan de ander verwachtte en ik me aanpaste om hoeveel ik kreeg	60	20	20	0				ja, aan het aantal muntjes dat iemand gaf, hoe minder, hoe meer ik mezelf gunde	nee	nee
110059	DCCN				12-06-17 14:31	Goed	Ja	Ja	Nee		Nee	Nee	Ik voelde me niet schuldig	0	0	100	0			0	Nee	Nee	Nee
110060	DCCN				13-06-17 09:17	Goed	Ja, de uitleg was duidelijk	Ja, behalve de vragen over het voorspellen wat andere mensen zouden doen, die duurde een beetje lang	Aan het eind van de vragenlijsten, bij de andere taken niet.		Ja, veel dingen zijn ongeveer eerlijk verdeeld	Nee, de foto's waren wazig	Doordat Ik soms aan mezelf meer muntjes had gegeven dan aan de anders	40	30	15	15				Ja, wanneer mensen weinig investeerden kregen ze op een gegeven moment minder terug dan de helft	Ja, want dan ga je automatisch rekening houden met wat mensen denken te geven	nee
110061	DCCN				13-06-17 10:01	Prima	Ja	Zeker	Nee		Voor de meeste rondes wel.	Nee	Als ik door een lagere vermenigvuldigingsfactor minder teruggaf dan ik dacht dat verwacht werd.	40	20	60	10			50	Vanaf een hoeveelheid van 5 begon ik guller muntjes terug te geven als beloning.	In het begin voelde ik me een beetje schuldig als mijn factor lager was dan verwacht, waardoor ik minder teruggaf dan verwacht.	Nee.
110062	DCCN				13-06-17 11:01	Goed	Ja	Ja	Beetje langdradig		Nee	Nee	N.V.T.	5	15	50	30				Ja, maximaal de investering teruggeven	Ja, veel mensen hadden het al verdeeld door 2 muntjes te investeren	Zie hierboven. Het probleem met 4 muntjes is dat speler A het al kan verdelen
110063	DCCN				13-06-17 11:45	Een beetje moeizaam, na zoveel trials voel ik me ietwat lam.	Ja.	Taak 2 was redelijk leuk, en kort.. Taak 1 was erg langdradig.	Ja, vooral bij de tweede helft van taak 1		Ik heb voornamelijk 1 muntje boven de investering teruggegeven, ik denk dat ze niet teleurgesteld zullen zijn, en zich iets beter zouden voelen dan een simple teruggave van de inzet.	Nee.	Omdat ik zelf veel van de investerings overhield. Ook als de echte vermenigvuldigingsfactor hoger lag voelde ik me extra aangetrokken om zelf meer te houden.	10	10	50	10	reciprocity	20	Ik wilde licht belonen voor een riskante investering, en straffen voor een lage investering, 20	Ja, op het begin was het aardig arbitrair, wat ik op dat moment voelde. In de loop van tijd heb ik voor investeringen van 5+ 1 muntje bovenop de investering teruggegeven. Met uitzondering van de 2xinvestering vragen, waar ik tenminste 10 muntjes probeerde te houden.	Nee, het was eigenlijk wel fijn omdat ik niet meer aan mijn persoonlijke 'minstens 10 muntjes' regel hoefde te denken.	nee
110064	DCCN				13-06-17 12:46	Prima, al had ik soms moeite met snel berekenen.	Ja.	Neutraal.	Aan het einde werd het vermoeiend.		Degenen met hoge bedragen wel, omdat ik deze eerlijk heb teruggegeven.	Nee.	Wanneer ik minder uitbetaald kreeg dan dat persoon A dacht, wilde ik niet terugbetalen wat diegene verwachtte, omdat ik zelf dan veel kwijt zou zijn.	55	35	10	0			0	Nee.	Ja, want de bedragen waren opeens veel lager, dus als mensen mij minder gaven wilde ik ze ook minder teruggeven.	Nee.
110065	DCCN				23-06-17 09:16	Goed, je begint een tactiek te ontwikkelen	Ja, geen problemen	Interessant om uit te voeren, en de uitkomsten te bemerken	Viel mee. Aantal stellingen en pauzes leken voldoende		Wellicht niet. Krijgen denk ik minder dan dat ze verwachtten of hoopten	Nee	Niet	30	30	40	0				Bij weinig investering weinig teruggeven, en juist belonen bij een grotere investering door meer richting het verwachte ' eerlijke' bedrag te gaan zitten	Nee, maar ik merkte wel dat je daardoor iets meer gaat uitbetalen en ikzelf juist ook iets gieriger werd en meer zelf wilde houden.	Leuk onderzoek!
110066	DCCN				23-06-17 12:46	Goed	Ja	Ja, vanwege het spelelement	Ja, na de helft raakte ik vermoeid		Soms	Nee	Te veel voor mezelf kiezen	15	20	5	0	advantageousEquity	60	Ik wilde net iets meer muntjes dan de investeerder hebben: 60	Nee	Nee	Nee
110067	DCCN				23-06-17 14:32	goed	ja	mwah, ging wel	vermoeid		de meesten wel	nee	als ik minder terug gaf, omdat ik minder kreeg dan de persoon verwachtte	50	20	20	10			0	Als mensen weinig in mij investeerden (1, 2 of 3 muntjes) ging ik ze minder geven	ja ik voelde me soms wel schuldig als ik ze niet het dubbele van hun muntjes terug gaf, omdat ik zelf ook muntjes wilde houden	nee
